"","site","long","lat","location","dataSet"
"245",4252,12.32,63.12,"Europe>Northern Europe>Scandinavia>Sweden","Spaime.Hammarlund.2004"
"246",4253,12.32,63.12,"Europe>Northern Europe>Scandinavia>Sweden","Spaime.Hammarlund.2004"
"247",4254,12.32,63.12,"Europe>Northern Europe>Scandinavia>Sweden","Spaime.Hammarlund.2004"
"248",4255,12.32,63.12,"Europe>Northern Europe>Scandinavia>Sweden","Spaime.Hammarlund.2004"
"249",4270,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"250",4271,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"251",4272,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"252",4273,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"253",4274,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"254",4275,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"255",4276,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"256",4277,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
"257",4278,32.92,56.58,"Europe>Eastern Europe>Russian Federation","StaroselskyMoch.Novenko.2018"
