"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5963",155415,"TUa-3554",1791,38,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5964",155416,"TUa-3557",2986,68,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5965",155417,"TUa-3558",1566,62,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5966",155418,"TUa-3580",3035,40,"Charcoal","","","",11.2507,59.1021,2,"","","Berget 2","Norway","","Europe","Solheim_Norway",""
"5967",155419,"TUa-3594",2688,62,"Charcoal","","","",10.35,59.216667,2,"","","RÃ¥stad Nordre","Norway","","Europe","Solheim_Norway","J√∏rgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5968",155420,"TUa-3668",1184,49,"Charcoal","","","",10.3,60.1,2,"","","Halvdanshaugen","Norway","","Europe","Solheim_Norway",""
"5969",155421,"TUa-3693",637,39,"bone","","","",8.583333,61.116667,2,"","","Vang prestegård","Norway","","Europe","Solheim_Norway",""
"5970",155422,"TUa-3716",1641,39,"Charcoal","","","",10.266667,59.066667,2,"","","Auve","Norway","","Europe","Solheim_Norway",""
"5971",155423,"TUa-3717",1216,49,"Nutshell","","","",10.266667,59.066667,2,"","","Auve","Norway","","Europe","Solheim_Norway",""
"5972",155424,"TUa-3718",4095,45,"Charcoal","","","",10.266667,59.066667,2,"","","Auve","Norway","","Europe","Solheim_Norway",""
"5973",155425,"TUa-3719",4151,55,"Nutshell","","","",10.266667,59.066667,2,"","","Auve","Norway","","Europe","Solheim_Norway",""
